Opel,Vivaro-e,50,192,165/65-R16,320,AAAD-020,2023
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,AAAN-509,2022
VW,e-up!,18,130,165/65-R15,130,NLY-052,2020
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,AABA-328,2021
Opel,Vivaro-e,50,192,165/65-R16,320,TJW-394,2020
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,NUD-999,2019
VW,e-up!,36,130,165/65-R15,300,AACF-415,2020
Opel,Vivaro-e,50,192,165/65-R16,320,TFV-853,2019
VW,e-up!,36,130,165/65-R15,300,SAP-672,2022
KIA,Niro_EV,65,167,165/65-R17,350,AACA-173,2022
Skoda,Citigo_e_iV,36,130,165/65R16,300,AACN-857,2023
KIA,Niro_EV,65,167,165/65-R17,350,NTT-191,2022
Skoda,Citigo_e_iV,36,130,165/65R16,300,AABN-235,2020
Opel,Vivaro-e,50,192,165/65-R16,320,SXG-707,2022
VW,e-up!,36,130,165/65-R15,300,PUY-740,2021
Skoda,Citigo_e_iV,36,130,165/65R16,300,AABK-904,2022
VW,e-up!,18,130,165/65-R15,130,AAAB-408,2022
VW,e-up!,18,130,165/65-R15,130,AABF-618,2019
Skoda,Citigo_e_iV,36,130,165/65R16,300,AABH-649,2021
KIA,Niro_EV,65,167,165/65-R17,350,AAAH-275,2021
VW,e-up!,18,130,165/65-R15,130,AACB-247,2023
Skoda,Citigo_e_iV,36,130,165/65R16,300,NWT-493,2023
Skoda,Citigo_e_iV,36,130,165/65R16,300,AAAF-796,2019
Skoda,Citigo_e_iV,36,130,165/65R16,300,AAAD-935,2020
KIA,Niro_EV,65,167,165/65-R17,350,PXL-372,2023
Skoda,Citigo_e_iV,36,130,165/65R16,300,TUU-565,2019
KIA,Niro_EV,65,167,165/65-R17,350,AABI-194,2023
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,AACK-538,2022
Opel,Vivaro-e,50,192,165/65-R16,320,AACG-256,2021
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,PRM-198,2021
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,AABG-513,2023
VW,e-up!,18,130,165/65-R15,130,MVK-413,2019
KIA,Niro_EV,65,167,165/65-R17,350,AACM-332,2020
VW,e-up!,36,130,165/65-R15,300,SRP-631,2023
Opel,Vivaro-e,50,192,165/65-R16,320,AABE-079,2021
VW,e-up!,18,130,165/65-R15,130,AACN-166,2019
VW,e-up!,36,130,165/65-R15,300,AAAL-235,2019
Skoda,Citigo_e_iV,36,130,165/65R16,300,AAAL-295,2023
Skoda,Citigo_e_iV,36,130,165/65R16,300,RIZ-011,2019
VW,e-up!,18,130,165/65-R15,130,PBK-862,2022
VW,e-up!,36,130,165/65-R15,300,AAAA-475,2020
VW,e-up!,18,130,165/65-R15,130,AACM-123,2020
Skoda,Citigo_e_iV,36,130,165/65R16,300,SGX-752,2019
Skoda,Citigo_e_iV,36,130,165/65R16,300,AACG-438,2023
VW,e-up!,36,130,165/65-R15,300,PPZ-267,2023
Skoda,Citigo_e_iV,36,130,165/65R16,300,RCW-259,2020
VW,e-up!,18,130,165/65-R15,130,NSR-917,2019
KIA,Niro_EV,65,167,165/65-R17,350,NVS-344,2023
VW,e-up!,36,130,165/65-R15,300,POW-427,2022
Skoda,Citigo_e_iV,36,130,165/65R16,300,AACK-214,2021
VW,e-up!,36,130,165/65-R15,300,RTP-315,2021
Opel,Vivaro-e,50,192,165/65-R16,320,AAAG-214,2020
VW,e-up!,18,130,165/65-R15,130,AACK-098,2023
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,STA-753,2022
Opel,Vivaro-e,50,192,165/65-R16,320,AAAC-672,2020
Skoda,Citigo_e_iV,36,130,165/65R16,300,SYE-586,2021
KIA,Niro_EV,65,167,165/65-R17,350,RYX-660,2023
VW,e-up!,18,130,165/65-R15,130,RUC-089,2021
VW,e-up!,36,130,165/65-R15,300,AACH-393,2021
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,TIA-626,2023
VW,e-up!,18,130,165/65-R15,130,AACL-392,2019
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,AACI-510,2021
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,AAAK-673,2021
Opel,Vivaro-e,50,192,165/65-R16,320,PFD-664,2023
Opel,Vivaro-e,50,192,165/65-R16,320,TUK-576,2021
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,NJO-324,2020
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,SRP-801,2021
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,SCU-964,2022
Opel,Vivaro-e,50,192,165/65-R16,320,SSM-326,2022
KIA,Niro_EV,65,167,165/65-R17,350,AABC-744,2020
VW,e-up!,18,130,165/65-R15,130,TBF-344,2023
Renault,Kangoo_Z.E.,45,130,165/65-R15,285,TWL-681,2023
Opel,Vivaro-e,50,192,165/65-R16,320,AAAD-457,2019
KIA,Niro_EV,65,167,165/65-R17,350,PHV-506,2022
Opel,Vivaro-e,50,192,165/65-R16,320,SPS-394,2022
VW,e-up!,18,130,165/65-R15,130,MVI-321,2020
VW,e-up!,18,130,165/65-R15,130,PUE-700,2020
Opel,Vivaro-e,50,192,165/65-R16,320,SAT-473,2021
VW,e-up!,18,130,165/65-R15,130,AAAB-681,2019
